CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn
CUST_1742,66,Female,One year,79.86,5270.76,No,Fiber optic,66,Yes,Bank transfer,No
CUST_2861,52,Female,Month-to-month,96.62,3768.18,Yes,Fiber optic,39,Yes,Credit card,No
CUST_1069,21,Male,Two year,73.79,1844.75,No,No,25,No,Electronic check,No
CUST_2947,25,Female,Two year,44.39,2929.74,No,DSL,66,Yes,Mailed check,Yes
CUST_2247,32,Male,One year,55.79,1283.17,No,Fiber optic,23,Yes,Bank transfer,No
CUST_1129,56,Male,One year,41.95,1216.55,Yes,No,29,No,Credit card,No
CUST_4845,23,Male,One year,29.34,557.46,Yes,Fiber optic,19,Yes,Electronic check,No
CUST_4659,53,Male,Two year,45.3,724.8,No,Fiber optic,16,Yes,Credit card,No
CUST_3626,39,Male,Month-to-month,71.54,1716.96,Yes,Fiber optic,24,Yes,Electronic check,No
CUST_1452,28,Male,Month-to-month,57.12,1942.08,Yes,Fiber optic,34,No,Electronic check,No
CUST_1976,43,Female,One year,54.33,488.97,Yes,DSL,9,Yes,Bank transfer,No
CUST_4911,63,Male,Month-to-month,48.0,1824.0,No,DSL,38,Yes,Credit card,No
CUST_1819,20,Male,Month-to-month,57.93,2143.41,No,Fiber optic,37,No,Electronic check,No
CUST_341,50,Female,Month-to-month,101.99,4181.59,No,DSL,41,No,Mailed check,Yes
CUST_2871,41,Female,Month-to-month,97.98,979.8,No,No,10,Yes,Mailed check,No
CUST_670,66,Male,Two year,99.53,5573.68,No,No,56,No,Bank transfer,No
CUST_871,28,Male,Month-to-month,119.18,834.26,No,Fiber optic,7,Yes,Electronic check,No
CUST_694,41,Male,Two year,61.44,4177.92,No,Fiber optic,68,No,Bank transfer,No
CUST_4536,68,Female,Month-to-month,29.45,589.0,No,DSL,20,No,Mailed check,No
CUST_4862,58,Female,Month-to-month,105.13,5046.24,Yes,Fiber optic,48,No,Bank transfer,Yes
CUST_88,59,Male,One year,48.29,965.8,No,Fiber optic,20,Yes,Mailed check,No
CUST_103,39,Female,Month-to-month,76.91,5537.52,No,DSL,72,Yes,Credit card,No
CUST_2215,50,Male,One year,118.18,827.26,No,DSL,7,Yes,Electronic check,No
CUST_2330,26,Male,One year,35.51,497.14,No,Fiber optic,14,Yes,Credit card,Yes
CUST_2321,38,Female,One year,30.71,2118.99,Yes,DSL,69,Yes,Credit card,No
CUST_3691,70,Female,Month-to-month,84.1,4373.2,Yes,Fiber optic,52,No,Credit card,No
CUST_4924,41,Male,Two year,107.77,4634.11,Yes,DSL,43,Yes,Mailed check,No
CUST_2207,26,Female,Month-to-month,67.18,2284.12,Yes,No,34,Yes,Bank transfer,No
CUST_3773,61,Male,One year,115.32,8072.4,No,DSL,70,Yes,Electronic check,No
CUST_4599,61,Male,Month-to-month,25.24,429.08,No,DSL,17,Yes,Electronic check,No
CUST_2331,64,Female,One year,33.33,1633.17,Yes,Fiber optic,49,No,Credit card,No
CUST_780,26,Male,Month-to-month,107.27,5256.23,No,No,49,No,Bank transfer,No
CUST_749,47,Female,Month-to-month,41.69,2209.57,No,Fiber optic,53,Yes,Bank transfer,No
CUST_2065,39,Female,Month-to-month,83.15,2245.05,Yes,No,27,No,Bank transfer,No
CUST_616,50,Female,One year,31.43,1351.49,No,Fiber optic,43,Yes,Bank transfer,No
CUST_4498,34,Male,Month-to-month,90.4,4791.2,No,No,53,Yes,Bank transfer,No
CUST_242,20,Female,Month-to-month,42.18,1982.46,No,No,47,Yes,Electronic check,No
CUST_3066,54,Female,Month-to-month,33.69,539.04,Yes,No,16,Yes,Mailed check,No
CUST_4534,44,Male,One year,29.55,1182.0,Yes,Fiber optic,40,No,Bank transfer,No
CUST_3443,58,Female,Month-to-month,92.2,5808.6,Yes,DSL,63,Yes,Electronic check,No
CUST_2688,31,Male,Month-to-month,113.41,5216.86,No,DSL,46,Yes,Mailed check,No
CUST_1206,45,Female,Month-to-month,92.72,6675.84,No,Fiber optic,72,No,Mailed check,No
CUST_4651,32,Female,Month-to-month,99.08,3467.8,Yes,DSL,35,No,Credit card,Yes
CUST_3330,29,Female,Month-to-month,21.95,658.5,Yes,No,30,Yes,Bank transfer,No
CUST_2523,29,Female,Month-to-month,64.17,3465.18,Yes,No,54,No,Bank transfer,No
CUST_4447,34,Female,Two year,117.34,0.0,No,DSL,0,No,Bank transfer,No
CUST_327,35,Male,Month-to-month,52.57,1366.82,No,Fiber optic,26,No,Credit card,No
CUST_4286,54,Female,Month-to-month,78.81,2049.06,No,DSL,26,Yes,Mailed check,No
CUST_3719,31,Male,Month-to-month,114.7,7226.1,Yes,Fiber optic,63,No,Mailed check,No
CUST_4154,29,Female,Month-to-month,79.23,3882.27,No,DSL,49,No,Mailed check,No
CUST_4650,61,Male,Month-to-month,76.3,5417.3,No,Fiber optic,71,Yes,Credit card,No
CUST_738,64,Female,Month-to-month,36.17,289.36,No,No,8,Yes,Credit card,Yes
CUST_2388,47,Male,Month-to-month,36.45,911.25,Yes,DSL,25,No,Mailed check,No
CUST_2091,27,Male,Month-to-month,48.89,635.57,No,Fiber optic,13,Yes,Bank transfer,No
CUST_2457,69,Male,Month-to-month,72.34,1663.82,No,Fiber optic,23,No,Mailed check,No
CUST_2705,38,Male,One year,118.04,4721.6,No,Fiber optic,40,No,Mailed check,Yes
CUST_4553,39,Female,Month-to-month,73.29,1172.64,Yes,Fiber optic,16,Yes,Mailed check,No
CUST_42,56,Female,Month-to-month,46.84,3138.28,No,Fiber optic,67,Yes,Bank transfer,No
CUST_1280,29,Female,Month-to-month,80.06,1361.02,No,DSL,17,No,Credit card,Yes
CUST_204,29,Female,Month-to-month,88.93,444.65,No,DSL,5,No,Mailed check,No
CUST_3998,63,Female,Month-to-month,30.67,1134.79,No,No,37,Yes,Mailed check,No
CUST_816,34,Female,Month-to-month,28.4,823.6,No,Fiber optic,29,Yes,Mailed check,Yes
CUST_3514,60,Male,Month-to-month,90.19,3607.6,No,Fiber optic,40,Yes,Electronic check,Yes
CUST_2968,45,Female,Two year,97.91,1958.2,No,Fiber optic,20,Yes,Electronic check,No
CUST_1992,38,Female,Month-to-month,27.4,383.6,No,DSL,14,Yes,Mailed check,Yes
CUST_1964,69,Male,Month-to-month,108.33,5199.84,No,No,48,Yes,Credit card,Yes
CUST_3195,66,Male,Two year,72.02,3096.86,Yes,No,43,Yes,Credit card,No
CUST_2484,60,Male,One year,117.04,117.04,Yes,Fiber optic,1,No,Mailed check,No
CUST_1729,33,Female,Month-to-month,73.86,4505.46,No,Fiber optic,61,Yes,Electronic check,No
CUST_4989,43,Female,Month-to-month,81.16,4544.96,Yes,Fiber optic,56,No,Bank transfer,No
CUST_3869,44,Female,Two year,28.84,259.56,No,No,9,Yes,Bank transfer,No
CUST_128,63,Female,Two year,32.73,261.84,No,DSL,8,Yes,Bank transfer,No
CUST_1189,36,Female,Two year,99.69,1993.8,No,DSL,20,Yes,Mailed check,Yes
CUST_516,53,Female,One year,35.53,2060.74,No,No,58,No,Bank transfer,Yes
CUST_3189,20,Male,Month-to-month,22.28,1225.4,No,DSL,55,Yes,Bank transfer,No
CUST_4772,51,Female,Month-to-month,119.18,4886.38,No,No,41,Yes,Bank transfer,No
CUST_4703,39,Male,Month-to-month,49.0,441.0,No,DSL,9,Yes,Credit card,Yes
CUST_1331,62,Female,One year,43.23,605.22,No,Fiber optic,14,Yes,Electronic check,No
CUST_231,36,Male,Month-to-month,27.55,137.75,Yes,Fiber optic,5,No,Credit card,No
CUST_333,36,Male,One year,76.03,4029.59,Yes,No,53,No,Mailed check,No
CUST_2690,25,Male,One year,21.18,762.48,No,No,36,Yes,Bank transfer,No
CUST_3017,40,Male,Month-to-month,82.22,2631.04,Yes,Fiber optic,32,No,Mailed check,No
CUST_2246,18,Female,Month-to-month,118.94,2497.74,No,Fiber optic,21,Yes,Credit card,No
CUST_3446,28,Male,Month-to-month,50.25,351.75,Yes,DSL,7,Yes,Credit card,Yes
CUST_1589,25,Female,Month-to-month,111.89,6825.29,No,Fiber optic,61,Yes,Bank transfer,No
CUST_134,51,Female,Month-to-month,74.63,2985.2,No,DSL,40,No,Credit card,Yes
CUST_4325,48,Male,Month-to-month,45.21,1808.4,No,Fiber optic,40,No,Bank transfer,No
CUST_3473,24,Female,Month-to-month,37.05,2667.6,Yes,No,72,Yes,Credit card,Yes
CUST_1545,54,Male,One year,104.17,6041.86,No,No,58,Yes,Bank transfer,Yes
CUST_66,34,Male,Month-to-month,56.39,1296.97,No,DSL,23,Yes,Mailed check,Yes
CUST_258,68,Male,Two year,109.08,1636.2,No,DSL,15,Yes,Mailed check,Yes
CUST_2025,29,Female,One year,47.95,1054.9,Yes,No,22,No,Credit card,No
CUST_3010,49,Female,Month-to-month,45.18,1445.76,No,DSL,32,No,Credit card,No
CUST_802,28,Female,Two year,116.75,2685.25,No,No,23,Yes,Bank transfer,No
CUST_2807,59,Female,Month-to-month,22.83,1438.29,No,Fiber optic,63,Yes,Bank transfer,No
CUST_3656,59,Female,Month-to-month,72.72,218.16,No,DSL,3,Yes,Bank transfer,No
CUST_7,57,Female,One year,107.6,2905.2,No,Fiber optic,27,Yes,Electronic check,Yes
CUST_3633,42,Male,Two year,94.15,4989.95,Yes,DSL,53,Yes,Credit card,No
CUST_828,57,Female,Month-to-month,52.17,1512.93,No,DSL,29,Yes,Bank transfer,No
CUST_4253,54,Male,Month-to-month,43.01,1505.35,No,DSL,35,Yes,Credit card,No
CUST_2885,56,Male,One year,38.74,116.22,Yes,DSL,3,No,Bank transfer,No
CUST_3185,64,Male,One year,99.71,4586.66,No,Fiber optic,46,Yes,Bank transfer,Yes
CUST_4771,63,Male,One year,61.52,861.28,Yes,No,14,Yes,Mailed check,Yes
CUST_1726,54,Female,Month-to-month,40.23,603.45,No,Fiber optic,15,Yes,Mailed check,Yes
CUST_2436,46,Male,Month-to-month,116.78,350.34,No,No,3,Yes,Electronic check,No
CUST_4204,53,Male,Month-to-month,52.76,2374.2,No,DSL,45,Yes,Mailed check,No
CUST_4942,29,Male,One year,28.2,2030.4,No,Fiber optic,72,Yes,Electronic check,No
CUST_4549,31,Male,One year,74.4,2604.0,No,Fiber optic,35,No,Bank transfer,No
CUST_1713,67,Male,Month-to-month,87.03,5134.77,No,Fiber optic,59,Yes,Bank transfer,No
CUST_4267,66,Female,Month-to-month,116.78,3269.84,No,DSL,28,No,Mailed check,No
CUST_138,42,Female,Month-to-month,101.72,813.76,Yes,Fiber optic,8,Yes,Bank transfer,No
CUST_931,56,Female,Month-to-month,34.52,1726.0,No,Fiber optic,50,Yes,Credit card,No
CUST_1449,66,Female,Month-to-month,113.35,793.45,No,Fiber optic,7,Yes,Bank transfer,No
CUST_3375,22,Female,Two year,59.22,3197.88,No,DSL,54,Yes,Credit card,No
CUST_913,67,Female,One year,41.26,2640.64,No,Fiber optic,64,Yes,Electronic check,No
CUST_4393,51,Female,Month-to-month,24.79,1437.82,No,DSL,58,Yes,Credit card,No
CUST_4844,25,Female,One year,31.47,0.0,Yes,No,0,No,Electronic check,No
CUST_3771,41,Male,One year,88.53,3187.08,No,No,36,Yes,Bank transfer,No
CUST_2353,61,Male,Two year,106.81,5020.07,Yes,DSL,47,Yes,Bank transfer,No
CUST_1043,69,Female,One year,63.09,2460.51,No,DSL,39,Yes,Credit card,No
CUST_4112,29,Male,Month-to-month,39.98,1839.08,No,DSL,46,Yes,Electronic check,No
CUST_1424,18,Female,Month-to-month,30.89,2224.08,Yes,DSL,72,Yes,Mailed check,No
CUST_1857,18,Male,Two year,22.61,1130.5,Yes,DSL,50,Yes,Credit card,Yes
CUST_3878,29,Male,Month-to-month,78.25,860.75,No,DSL,11,Yes,Credit card,No
CUST_3275,49,Male,Month-to-month,25.73,1775.37,Yes,DSL,69,No,Bank transfer,Yes
CUST_86,55,Male,Month-to-month,54.1,1623.0,No,Fiber optic,30,Yes,Electronic check,No
CUST_2080,63,Female,Month-to-month,62.5,687.5,No,No,11,Yes,Bank transfer,No
CUST_604,45,Male,Month-to-month,28.78,259.02,No,DSL,9,Yes,Electronic check,Yes
CUST_4293,70,Female,Month-to-month,81.37,4149.87,Yes,No,51,No,Electronic check,No
CUST_3541,22,Male,Two year,92.78,4824.56,No,No,52,No,Bank transfer,No
CUST_4542,32,Female,One year,33.52,1843.6,No,DSL,55,No,Electronic check,Yes
CUST_1884,40,Male,Month-to-month,49.59,2777.04,No,Fiber optic,56,Yes,Electronic check,No
CUST_2216,54,Male,One year,20.17,746.29,Yes,No,37,No,Electronic check,Yes
CUST_1384,69,Female,Two year,60.26,4278.46,No,DSL,71,No,Mailed check,Yes
CUST_4928,50,Male,Month-to-month,26.65,639.6,No,DSL,24,Yes,Electronic check,No
CUST_2076,49,Female,Month-to-month,107.09,7067.94,Yes,No,66,Yes,Bank transfer,No
CUST_2784,27,Female,Month-to-month,26.26,1575.6,Yes,DSL,60,Yes,Electronic check,No
CUST_4732,21,Female,One year,50.82,2236.08,Yes,DSL,44,Yes,Mailed check,No
CUST_3333,36,Male,Two year,88.15,4143.05,No,DSL,47,Yes,Electronic check,No
CUST_1498,58,Male,Month-to-month,88.49,1946.78,No,Fiber optic,22,Yes,Bank transfer,No
CUST_2998,24,Male,One year,49.41,1630.53,No,Fiber optic,33,No,Bank transfer,No
CUST_2525,46,Male,Two year,112.0,7392.0,No,DSL,66,Yes,Electronic check,Yes
CUST_3621,70,Female,Month-to-month,103.44,6827.04,Yes,Fiber optic,66,Yes,Electronic check,No
CUST_3640,33,Female,Month-to-month,68.26,4027.34,No,DSL,59,No,Electronic check,No
CUST_3058,30,Male,Month-to-month,96.62,6280.3,No,Fiber optic,65,Yes,Credit card,Yes
CUST_3112,70,Female,One year,48.48,2860.32,No,No,59,Yes,Bank transfer,No
CUST_2927,33,Male,Month-to-month,119.19,3575.7,No,Fiber optic,30,No,Electronic check,No
CUST_4652,64,Female,Month-to-month,33.67,437.71,No,DSL,13,Yes,Mailed check,No
CUST_1649,31,Male,Month-to-month,114.19,8221.68,No,Fiber optic,72,No,Electronic check,No
CUST_2433,43,Male,Two year,65.11,846.43,Yes,Fiber optic,13,Yes,Credit card,No
CUST_47,19,Female,Month-to-month,33.82,33.82,Yes,Fiber optic,1,Yes,Mailed check,No
CUST_747,35,Male,Month-to-month,106.13,6792.32,No,Fiber optic,64,No,Credit card,No
CUST_217,56,Male,One year,48.04,1681.4,No,Fiber optic,35,Yes,Electronic check,No
CUST_4221,18,Female,Two year,85.47,3504.27,Yes,No,41,Yes,Electronic check,No
CUST_4515,30,Female,Two year,75.3,602.4,No,No,8,Yes,Mailed check,No
CUST_464,22,Male,Month-to-month,101.63,4776.61,No,Fiber optic,47,Yes,Mailed check,Yes
CUST_1105,55,Male,Month-to-month,25.27,429.59,Yes,DSL,17,Yes,Mailed check,No
CUST_1355,26,Female,Two year,115.63,5897.13,No,DSL,51,Yes,Credit card,No
CUST_4530,62,Male,Month-to-month,82.89,2901.15,Yes,No,35,Yes,Mailed check,No
CUST_2543,54,Female,Month-to-month,48.78,2390.22,No,No,49,Yes,Credit card,No
CUST_1137,56,Male,Month-to-month,118.72,5461.12,Yes,Fiber optic,46,No,Credit card,No
CUST_1143,68,Male,Month-to-month,85.85,600.95,No,No,7,No,Mailed check,No
CUST_1022,31,Female,Month-to-month,88.64,620.48,No,Fiber optic,7,Yes,Bank transfer,No
CUST_3316,30,Female,Month-to-month,113.85,6944.85,Yes,No,61,Yes,Credit card,No
CUST_3350,44,Male,Two year,36.93,2326.59,No,Fiber optic,63,Yes,Bank transfer,No
CUST_2474,65,Female,Month-to-month,58.4,2394.4,No,No,41,Yes,Electronic check,No
CUST_215,47,Female,Two year,85.69,1113.97,Yes,Fiber optic,13,Yes,Credit card,Yes
CUST_495,55,Female,Month-to-month,59.02,4072.38,No,Fiber optic,69,Yes,Bank transfer,No
CUST_1651,27,Female,Month-to-month,112.32,1235.52,No,Fiber optic,11,No,Credit card,No
CUST_4364,54,Male,Month-to-month,38.7,2322.0,Yes,DSL,60,Yes,Bank transfer,No
CUST_773,23,Male,Month-to-month,37.05,2630.55,Yes,Fiber optic,71,Yes,Credit card,No
CUST_1081,44,Female,Two year,47.69,3385.99,No,Fiber optic,71,Yes,Credit card,No
CUST_4731,39,Female,Month-to-month,93.27,4010.61,No,Fiber optic,43,Yes,Bank transfer,No
CUST_11,35,Female,Month-to-month,114.62,7679.54,No,Fiber optic,67,Yes,Electronic check,No
CUST_2783,61,Male,One year,29.03,1741.8,No,No,60,No,Credit card,No
CUST_4194,63,Male,One year,65.04,650.4,No,No,10,Yes,Electronic check,No
CUST_1750,53,Male,Month-to-month,78.11,1640.31,No,Fiber optic,21,No,Mailed check,No
CUST_1582,44,Male,Month-to-month,64.72,3689.04,No,Fiber optic,57,Yes,Credit card,No
CUST_4103,24,Male,One year,24.07,1708.97,No,Fiber optic,71,Yes,Electronic check,Yes
CUST_999,66,Female,One year,76.14,3883.14,No,Fiber optic,51,No,Bank transfer,Yes
CUST_2261,57,Male,One year,45.63,410.67,No,DSL,9,No,Bank transfer,No
CUST_961,29,Female,Month-to-month,101.03,4243.26,No,No,42,Yes,Mailed check,No
CUST_1860,44,Female,One year,52.11,2084.4,No,No,40,Yes,Electronic check,No
CUST_517,36,Male,Month-to-month,96.69,193.38,No,Fiber optic,2,Yes,Bank transfer,No
CUST_4586,53,Male,Month-to-month,90.63,5619.06,No,DSL,62,Yes,Electronic check,No
CUST_832,59,Female,Month-to-month,93.01,3255.35,Yes,DSL,35,Yes,Electronic check,No
CUST_3497,60,Male,Month-to-month,81.79,5152.77,Yes,No,63,No,Bank transfer,No
CUST_4646,55,Female,Month-to-month,76.13,4948.45,No,Fiber optic,65,Yes,Credit card,No
CUST_4620,43,Female,Month-to-month,31.21,0.0,No,DSL,0,Yes,Bank transfer,No
CUST_4335,48,Male,Month-to-month,42.25,2450.5,No,Fiber optic,58,No,Electronic check,Yes
CUST_4815,55,Female,One year,116.44,6520.64,No,DSL,56,Yes,Bank transfer,Yes
CUST_271,53,Female,Month-to-month,100.01,6000.6,No,Fiber optic,60,Yes,Bank transfer,No
CUST_4403,37,Female,One year,56.51,1130.2,Yes,DSL,20,No,Electronic check,Yes
CUST_3474,67,Male,One year,57.96,927.36,No,Fiber optic,16,Yes,Credit card,Yes
CUST_984,69,Female,Month-to-month,61.4,0.0,No,DSL,0,Yes,Bank transfer,Yes
CUST_2354,51,Female,Month-to-month,84.77,339.08,No,Fiber optic,4,Yes,Bank transfer,No
CUST_4369,34,Male,Month-to-month,68.15,3475.65,No,DSL,51,No,Mailed check,No
CUST_393,55,Female,Month-to-month,57.66,2825.34,Yes,DSL,49,Yes,Electronic check,Yes
CUST_4252,21,Male,Month-to-month,58.32,699.84,Yes,DSL,12,Yes,Bank transfer,No
CUST_2582,38,Male,Month-to-month,31.55,1987.65,Yes,DSL,63,Yes,Bank transfer,No
